UsageStartDate,ResourceID,UnblendedCost
2024-01-01,GPT-4-Turbo,1250.50
2024-01-01,Claude-3-Opus,850.75
2024-01-01,Llama-3-70B,420.25
2024-01-01,High-Risk-Engine-01,500.00
2024-01-01,Nexus-Core-Processing,600.00
2024-01-01,Omni-Intent-Classifier,450.00
2024-01-01,Global-Scoring-Matrix,700.00
2024-01-01,Legacy-Fraud-Guardian,300.00
2024-01-01,Multi-Cluster-LLM,800.00
2024-01-01,Quant-Risk-Model-V3,900.00
2024-01-01,Neural-Pattern-Scanner,350.00
2024-01-01,Distributed-Sense-Core,400.00
2024-01-01,Aggregated-Insights-V2,550.00
2024-01-01,Primary-Shared-Node-01,400.00
2024-01-01,Primary-Shared-Node-02,450.00
2024-01-01,Primary-Shared-Node-03,500.00
2024-01-01,Primary-Shared-Node-04,350.00
2024-01-01,Primary-Shared-Node-05,600.00
2024-01-02,GPT-4-Turbo,1310.20
2024-01-02,Claude-3-Opus,920.40
2024-01-02,Llama-3-70B,450.15
2024-01-02,High-Risk-Engine-01,520.00
2024-01-02,Nexus-Core-Processing,610.00
2024-01-02,Primary-Shared-Node-01,410.00
2024-01-02,Primary-Shared-Node-02,460.00
2024-01-03,GPT-4-Turbo,1180.90
2024-01-03,Claude-3-Opus,880.60
2024-01-03,Llama-3-70B,410.50
2024-01-03,High-Risk-Engine-01,480.00
2024-01-03,Nexus-Core-Processing,590.00
2024-01-03,Primary-Shared-Node-01,390.00
2024-01-03,Primary-Shared-Node-03,510.00
2024-01-04,GPT-4-Turbo,1450.30
2024-01-04,Claude-3-Opus,1050.80
2024-01-04,Llama-3-70B,490.90
2024-01-04,High-Risk-Engine-01,550.00
2024-01-04,Nexus-Core-Processing,640.00
2024-01-04,Primary-Shared-Node-01,420.00
2024-01-04,Primary-Shared-Node-04,380.00
2024-01-05,GPT-4-Turbo,1290.45
2024-01-05,Claude-3-Opus,890.25
2024-01-05,Llama-3-70B,430.75
2024-01-05,High-Risk-Engine-01,510.00
2024-01-05,Nexus-Core-Processing,605.00
2024-01-05,Primary-Shared-Node-01,405.00
2024-01-05,Primary-Shared-Node-05,620.00
2024-01-06,GPT-4-Turbo,1100.20
2024-01-06,Claude-3-Opus,780.50
2024-01-06,Llama-3-70B,390.40
2024-01-06,High-Risk-Engine-01,490.00
2024-01-06,Nexus-Core-Processing,595.00
2024-01-06,Primary-Shared-Node-01,395.00
2024-01-06,Primary-Shared-Node-02,455.00
2024-01-07,GPT-4-Turbo,1520.60
2024-01-07,Claude-3-Opus,1120.10
2024-01-07,Llama-3-70B,520.80
2024-01-07,High-Risk-Engine-01,560.00
2024-01-07,Nexus-Core-Processing,650.00
2024-01-07,Primary-Shared-Node-01,430.00
2024-01-07,Primary-Shared-Node-03,530.00
